Time [s],Value,Parity Error,Framing Error
0.475098528000000,8,,
0.475108976000000,9,,
0.475119432000000,.,,
0.475129872000000,7,,
0.475140320000000,4,,
0.475150776000000,\n,,
0.987099864000000,9,,
0.987110312000000,6,,
0.987120760000000,.,,
0.987131208000000,5,,
0.987141656000000,2,,
0.987152104000000,\n,,
1.499102184000000,9,,
1.499112632000000,6,,
1.499123080000000,.,,
1.499133528000000,5,,
1.499143976000000,2,,
1.499154424000000,\n,,
2.011109864000000,9,,
2.011120312000000,6,,
2.011130760000000,.,,
2.011141208000000,5,,
2.011151648000000,3,,
2.011162096000000,\n,,
2.523110256000000,9,,
2.523120704000000,6,,
2.523131152000000,.,,
2.523141608000000,5,,
2.523152056000000,2,,
2.523162512000000,\n,,
3.035113552000000,9,,
3.035124008000000,6,,
3.035134456000000,.,,
3.035144912000000,5,,
3.035155360000000,1,,
3.035165808000000,\n,,
3.547116328000000,9,,
3.547126776000000,6,,
3.547137224000000,.,,
3.547147672000000,5,,
3.547158112000000,2,,
3.547168560000000,\n,,
4.059121480000000,9,,
4.059131928000000,6,,
4.059142368000000,.,,
4.059152816000000,5,,
4.059163256000000,2,,
4.059173704000000,\n,,
4.571125904000000,9,,
4.571136344000000,6,,
4.571146784000000,.,,
4.571157216000000,5,,
4.571167656000000,2,,
4.571178096000000,\n,,
5.083128376000000,9,,
5.083138816000000,6,,
5.083149264000000,.,,
5.083159712000000,5,,
5.083170152000000,4,,
5.083180600000000,\n,,
